Book of Love,,37,,,Edwards/Lowjeski,,,,TTBB,,StFYC,Pop
Cabaret,,255,,,,,,,,,StFYC,Broadway Shpow
Call Me Irresponsible,,306,,,Cahn//Sterling,,,,,,StFYC,Pop
Calypso Noel,,19,,,"""KRUNNFUSZ, G.""",,,"""KRUNNFUSZ, G.""",TTBB,,StFYC,Christmas
Cantate Domino (O Sing Unto The Lord),,192,,,"""Hassler, H.""",,"""Greyson, N.""",,,,StFYC,Sacred
Cape Cod Girls,,392,,,"""Crocker, Emily""",,,,TTBB,,StFYC,Chantey
Captain Fate,,126,,,Schicklele,,,,TTBB,,StFYC,Chantey
Captain Stratton's Fancy,,15,,,"""TAYLOR, DEEMS""",,High,"""MASEFIELD, J.""",TTBB,,StFYC,Chantey
Careless Love,,239,,,//McLeod,,,,,,StFYC,Love Song
Carol of the Birds,,18,,,ARR. VICKERY,,VICKERY,,TTBB,,StFYC,Christmas
"""Carol, Brothers, Carol""",,6,,,"""RINGWALD, R.""",,,MUHLENBERG,TTBB,,StFYC,Christmas
"""Caroling, Caroling""",,122,,,Alfred Burt,,"""ROSS, J.""",,TTBB,,StFYC,Christmas
"""Catches for 3, 4, & 5 Voices""",,21,,,arr. Lawton,,,,TTBB,,StFYC,Catch
Celtic Hymn,,384,,,"""Roberton, Hugh""",,,,TTBB,,StFYC,Sacred
Christmas in Song (Green Songbook Collection),,0,,,,,"""Preuss, Theo.""",,,,StFYC,Christmas
Christmas Song (Chestnuts),,140,,,Torme/Ringwald,,Ringold,,TTBB,,StFYC,Christmas
Christmas Song (Chestnuts),,141,,,Torme/Boyden,,Boyden,,TTBB,,StFYC,Christmas
Christmas Song (Chestnuts),,179,,,Jack Rogers,,"""Rogers, J.""",,TTBB,,StFYC,Christmas
Christmas Word Sheets,,178,,,,,,,,,StFYC,Christmas
Christopher and Me,,368,,,Donnelly,,,,TTBB,,StFYC,Chantey
"""Cigarettes, Whisky and Wild, Wild Women""""""",,185,,,Spencer,,,,Unison,,StFYC,American Folk
Clancy Lowered the Boom,,266,,,Lang//Wilson,,,,,,StFYC,Novelty
Climb Ev'ry Mountain,,33,,,"""RODGERS, R.""",,"""SMITH, C.""","""HAMMERSTEIN, O""",TTBB,,StFYC,Broadway Musical
Coffee Grows On White Oak Trees,,211,,,Ferguson,,"""Ferguson, E.""",,TTBB,,StFYC,Folk Song
Cool Water,,186,,,"""Nolan, Bob""",,,,TTB,,StFYC,Cowboy Song Western
Could I Ever Leave My San Francisco,,109,,,Clay Schmit,,,,TTBB,,StFYC,SOTS Irish
Coventry Carol,,325,,,Evans,,,,,,StFYC,Christmas
Danny Boy,,265,,,Schmit,,,,,,StFYC,Irish Folk Song
Dashing Through the Slush,,364,,,Hagemann,,,,TTBB,,StFYC,Novelty
Day-O,,301,,,//Schmit,,,,,,StFYC,Jamaican Folk Song
Deck the Hall,,32,,,,,,,TTBB,,StFYC,Christmas
Deck the Halls,,31,,,arr. Heath,,"""HEATH, F.""",,TTBB,,StFYC,Christmas
Don't Fence Me In,,189,,,Porter,,"""Shaw, Kirby""", ,TTBB,,StFYC,Cowboy Song Western
Dream Baby,,382,,,"""Walker, Cindy""",,,,TTB,,StFYC,Pop
Drink To Me Only With Thine EyesEYES,,35,,,arr. Ringwald,,"""RINGWALD, R.""","""JOHNSON, B.""",TTBB,,StFYC,English Folk Song
Drinking Song,,36,,,ROMBERG,,,ROMBERG,TTBB,,StFYC,Operetta / Drinking S
"""Du, Du, Liegst mir im Hertzen""",,251,,,Shaw,,,,,,StFYC,German Drinking Song
Duke of Earl,,37,,,Edwards/Lowjeski,,,,TTBB,,StFYC,Pop
Earth Angel,,34,,,Williams/Emerson,,Emerson,Williams,TTBB,,StFYC,Pop
Easy Street,ANNIE,20,,,Strouse,,Metis,Charnin,TTBB,,StFYC,Musical
Edelweiss,SOUND OF MUSIC,84,,,"""RODGERS, R.""",,,"""HAMMERSTEIN, O.""",Unison,,StFYC,Broadway Musical
Edelweiss,,248,,,Rodgers//Allen,,,,,,StFYC,Broadway Show
Eight Bells,,83,,,Bartholomew,,"""BARTHOLOMEW, M.""",,TTBB,,StFYC,Chantey
Et in Terra Pax,Gloria,363,,,Vivaldi,,,,TTBB,,StFYC,Sacred
"""Evening Prayer, An""",,220,,,M.GABRIEL/THORNE,,"""THORNE, F.""","""BATTERSBY, """,TTBB,,StFYC,Sacred
Every Time I Feel the Spirit,,134,,,/Clay Schmit,,McGilvray,,ttbb,,StFYC,Spiritual
Every Time We Say Goodbye,Spring Concert 1999,320,,,Rogers,,,,,,StFYC,Ballad
Falling in Love,,65,,,Rodgers,,,,T-TTBB,,StFYC,Musical
Falling in Love With Love,,80,,,"""RODGERS, R./Stickles""",,"""STICKLES, W.""","""HART, L.""",TTBB,,StFYC ,Broadway Musical
Fanfare for Christmas Day,,292,,,Martin Shaw,,,,,,StFYC,Christmas
Follow the Drinking Gourd,,79,,,/Clark,,"""CLARK, K.""",,TTBB,,StFYC,Folk Song
Fugue For Tinhorns,Guys and Dolls,205,,,"""Loesser, F.""",,,,TTB,,StFYC,Broadway Musical
Gavotte for Bach,,231,,,Bach//Williams,,,,,,StFYC,Baroque
Georgia On My Mind,,194,,,"""Carmichael, H./Allen""",,"""Allen, J.""","""Gorrell, S.""",TTBB,,StFYC,Pop
Gesu Bambino,,119,,,Yon,,,Martens,T-TTBB,,StFYC,Christmas
Get a Job,,37,,,Lowjeski,,,,TTBB,,StFYC,Pop
Get on the Raft with Taft,,129,,,Jack Rogers,,,,TTBB,,StFYC,Campaign Songs Patriotic
Getting Sentimental ,,308,,,Rogers,,,,,,StFYC,Swing
Getting To Know You,The King and I,184,,,Rodgers/Stickles,,,"""Hammerstein, O.""",TTBB,,StFYC,B'way or Movie
Girl of My Dreams,,269,,,Clapp//Embury,,,,,,StFYC,Love Song
Give Me Your Tired Your Poor,MISS LIBERTY,131,,,BERLIN/Ringwald,,"""RINGWALD, R.""","""LAZARUS, E.""",TTBB,,StFYC,Patriotic Broadway Musical
Give My Regards To Broadway,,172,,,Cohan/Ehret,,,,TTBB,,StFYC,Broadway Musical
Give My Regards to Broadway,Spring Show,285,,,Rogers,,,,,,StFYC,Broadway
Go Tell It on The Mountain,,116,,,Simeone,,"""SIMEONE, H.""",,TTBB,,StFYC,Christmas
Go Tell It On the Mountain,,300,,,Schmit,,,,,,StFYC,Spiritual
God Bless America,,10,,,BERLIN// ROGERS,,"""MAGOR, L.""",,SSA-TB,,StFYC,Patriotic
God Bless America,,118,,,BERLIN/RINGWALD,,"""RINGWALD, R.""",BERLIN,TTBB,,StFYC,Patriotic
God of Grace and God of Glory,,147,,,HUGHES//Moyer,,"""MOYER, H.""","""FOSDICK, H.""",TTBB,,StFYC,Sacred
Gold Eagle,,240,,,Schmit,,,,,,StFYC,Patriotic
Gonna Rise Up Singing,,26,,,"""BESIG, D.""",,,"""BESIG, D.""",TTBB,,StFYC,SACRED
Good Old Mountain Dew,,24,,,arr. Genuching,,"""GENUCHI, I.""",,TTBB,,StFYC,Folk Song
"""Great is He, the Lord Eternal""",,388,,,"""Davies, Bryan""",,,,TTBB,,StFYC,Sacred
"""Great Pretender, The""",,123,,,Ram/Kirby Shaw,,Shaw,Ram,TBB,,StFYC,Pop
Gute Nacht,,276,,,Woodworth,,,,,,StFYC,German Folk song
Gute Nacht,,381,,,"""McKelvy, James""",,,,TTBB,,StFYC,German Folk Song
"""Halls of Ivy, The""",,272,,,Knight,,,,,,StFYC,College Song
Happy Together,,38,,,Bonner & Gordon/Lowjeski,,Lojeski,Bonner & Gordon,TTBB,,StFYC,Pop
Happy Wanderer,,249,,,Moler,,,,,,StFYC,Folk Song
Harp that one thro' Tara's halls (The),,151,,,,,"""MOORE, T.""",Moore,TTBB,,StFYC,Irish Folk Song
Has Sorrow Thy Young Days Shaded?,State Fair,173,,,/Davidson,,,Moore,TTBB,,StFYC,Irish Folk Song
Have Yourself a Merry Little Christmas,,121,,,/Boyden,,,MARTIN & BLAINE,TTBB,,StFYC,Christmas
Heartahces,,398,,,"""Hoffman, Al""",,,,TTBB,,StFYC,Pop
Heartbreak Hotel,,81,,,McGilvrey,,Lojeski,,TBB,,StFYC,Pop
Heat Wave,Spring 2000,295,,,Rogers,,,,,,StFYC,Pop
Heather on the Hill (The),BRIGADOON,100,,,"""LOWE, F./LAMONT""",,,"""LERNER, A.""",TTBB,,StFYC,B'way or Movie
"""Heave Ho, My Lads""",,252,,,Lawrence,,,,,,StFYC,Chantey
Heaven Somewhere,,361,,,Hatfield,,,,TTBB,,StFYC,Spiritual
Here Come a Ship Full-laden,,397,,,Schuetz/Rice,,,,TTBB,,StFYC,Christmas
Here's a Health,,96,,,anon,,,,4 prt ,,StFYC,Drinking Song Round
Hey There,,287,,,//Allen,,,,,,StFYC,Broadway Show
"""HEY, LOOK ME OVER""",WILDCAT,98,0,,"""COLEMAN, C./WARNICK",BROADWAY MUSICAL,,,"COLEMAN, C.""""""",TTBB,,
Hodie (for Carrie),,196,,,"""Schmit, C.""",,,,TTBB,,StFYC,Christmas
"""Hodie, Alleluia""",,360,,,,,,,TTBB,,StFYC,Christmas
Holly and the Ivy,,325,,,Evans,,,,,,StFYC,Christmas
Homeward Bound,,61,,,//Tolleson,,"""TOLLESON, W.""",,TTBB,,StFYC,Chantey
Hooked On History,,206,,,Beall/Carter,,,,2 part,,StFYC,specialty
Hospodi Pomilui,,94,,,"""LVOVSKY, G./Krone""",,,,TTBB,,StFYC,Christmas  Sacred Chant
Hot Time In The Old Town,,195,,,"""Metz, T.""",,,"""Hayden, J.""",Unison,,StFYC,Pop
Hound Dog,,81,,,McGilvrey,,Lojeski,,TBB,,StFYC,Pop
I Left My Heart In San Francisco,,93,,,"""CROSS, D//Brimhall""",,"""BRIMHALL, J.""","""CORY, G.""",TTBB,,StFYC,Pop
I Love Paris,,274,,,//Rogers,,,,,,StFYC,Pop
I saw three ships,,404,,,"""Riese, Mark""",,,,TTBB,,StFYC,Christmas
I Talk To The Trees,PAINT YOUR WAGON,148,,,"""LOWE, F./Stickles""",,"""STICKLES, W.""","""LERNER, A.""",TTBB,,StFYC,Broadway Musical
I want a girl,,42,,,arr. Ades,,Ades,,TTBB,,StFYC,Barbershop
I Wish I Was Single Again,,150,,,/Tom Scott,,"""SCOTT, TOM""",,TTBB,,StFYC,Minstrel Song
If Ever I Would Leave You,Camelot,158,,,"""Loewe, F.""",,,"""Lerner, A.""",TTBB,,StFYC,Broadway Musical
If I Were a Rich Man,,241,,,Bock,,,,,,StFYC,Broadway Show
If You Knew Susie,,92,,,Meyer/Lowjeski,,,,TTBB,,StFYC,Musical
If You've Only Got A Moustache,Americana,142,,,"""FOSTER, S./Van Camp""",,"""VAN CAMP, L.""","""PORTER, C.""",TTBB,,StFYC,Pop
"""Impossible Dream, The""",Man of La Mancha,181,,,"""Leigh, M/Ringwald""",,"""Ringwald, R.""","""Darion, J.""",TTBB,,StFYC,B'way or Movie
In dem old cotton fields back home,,39,,,,,McGilvrey,,TTBB,,StFYC,Pop
In the Rifted Rock,,386,,,Bentley/Moyer,,,,TTB,,StFYC,Sacred
It's A Grand Night For Singing,STATE FAIR,146,,,"""RODGERS, R./Stickles""",,,"""HAMMERSTEIN, O.""",TTBB,,StFYC,B'way or Movie
It's Beginning to Look Like Christmas,,78,,,Willson/Churchill,,Churchill,Willson,TTBB,,StFYC,Christmas
Its the most wonderful time of the year,,77,,,POLA & WYLE/Ades,,,,TTBB,,StFYC,Christmas
I've Got You Under My Skin,,76,,,"""PORTER, C./Stickles""",,"""STICKLES, W.""","""PORTER, C.""",TTBB,,StFYC,Broadway Musical
Jamaica Farewell,,299,,,//House,,,,,,StFYC,Jamaican Folk Song
Java Jive,,75,,,"""OAKLAND, B./Lowjeski""",,"""LOJESKI, E.""","""DRAKE, M.""",TTBB,,StFYC,Pop
Jean,,275,,,McEwen//Allen,,,,,,StFYC,Movie 
"""Jesu, Joy of Man's Desiring""",,67,,,Bach/Goodrich,,Smith,,TTBB,,StFYC,Christmas
"""Jesu, Joy of Man's Desiring""",,74,,,"""BACH, J.S./Davison""",,A.T.D.,,TTBB,,StFYC,Sacred/Christmas
Jingle Bells,,157,,,Traditional/T.I.,,T.I.,,TTBB,,StFYC,Christmas
Jingle Bells,,244,,,//Charles,,,,,,StFYC,Christmas
Jingle Bells,,247,,,//T I,,,,,,StFYC,Christmas
King And I selections,KING AND I,73,,,"""RODGERS, R./Warnick""",,Warnick,"""HAMMERSTEIN, O.""",TTBB,,StFYC,Broadway Musical
La Pastorella,,1,,,"""SCHUBERT, F.""",,Shaw,Goldini,TTBB,,StFYC,Art Song
Lamour de Moy,,230,,,Shaw,,,,,,StFYC,French Folk Song
L'Amour de Moy,,374,,,Parker/Shaw,,,,TTBB,,StFYC,Chantey
Let It Snow,,245,,,//Allen,,,,,Pop,StFYC,Christmas
"""Let Us Eat, Drink and Be Merry (Oy """,,88,,,"""ENCINA, D./MALIN""",,"""MALIN, D.""",,TTBB,,StFYC,Drinking Song
Lida Rose,The Music Man,169,,,"""Willson, M./Willson""",,,,,,StFYC,Broadway Musical
Linden Lea,,233,,,Vaughn Williams,,,,,,StFYC,English Folk Song
Linden Lea,,371,,,Harrison. J,,,,TTBB,,StFYC,Art Song
"""Little Drummer Boy, The""",,87,,,"""SIMEONE, H.""",,"""SIMEONE, H.""","""DAVIS, J.""",TTBB,,StFYC,Christmas
Little Innocent Lamb,,326,,,Bartholomew,,,,,,StFYC,Spiritual
Little Irish Girl,,214,,,,,,,Unison,,StFYC,Irish Folk Song
Loch Lomond,,139,,,/Duson,,"""DUSON, D.""",,TTBB,,StFYC,Scottish Folk Song
"""Long Day Closes, The""",,86,,,Arthur Sullivan/Kings Singers,,,Chorley,TTBB,,StFYC,Operetta Chorus
Lord's Prayer,,160,,,"""Malotte, A./Dels""",,"""Deis, C.""",,TTBB,,StFYC,Sacred
Love Me Tender,,81,,,McGilvrey,,Lojeski,,TBB,,StFYC,Pop
Love Walked In,,85,,,"""GERSHWIN, G./Stickles""",,"""STICKLES, W.""","""GERSHWIN, I.""",TTBB,,StFYC,Broadway Musical
"""Lovliest of Trees, The Cherry""",,137,,,"""NANCE, R""",,,"""HOUSEMAN, A.""",TTBB,,StFYC,Love Song
"""Low, How a Rose e're Blooming""",,138,,,Praetorius,,,,TTBB,,StFYC,Christmas
Lullaby of Broadway,42nd Street,177,,,Warren,,,Dubin,T,,StFYC,Broadway Musical
Man of La Mancha,Man of La Mancha,156,,,"""Leigh, M.""",,"""Frank, M.""","""Darion, J.""",TTBB,,StFYC,Broadway Musical
Marching,,136,,,Lemke,,,,TTBB,,StFYC,Opera Chorus
Marching to Pretoria,,190,,,"""Marais, J/Abbott""",,,,TTBB,,StFYC,South African Veld Song
Marry A Woman Uglier Than You,,133,,,De Power,,de Paur,,TTBB,,StFYC,Calypso
Mary Ann,,365,,,Hendrickson,,,,TTBB,,StFYC,Christmas
Mary Had A Baby,,155,,,Dawson/Parker-Shaw,,"""Dawson, W.""","""Dawson, W.""",TTBB,,StFYC,Spiritual
Mavourneen,,267,,,Bartholomew,,,,,,StFYC,Irish Love Song
McGilvrey Tribute (Aural Lee),,135,,,/Darby,,Darby/Boyden,Meyer,TTBB,,StFYC,SOTS
Men of Harlech,,264,,,//Evans,,,,,,StFYC,Scotish Folk Song
Michael Row the Boat Ashore,,39,,,,,McGilvrey,,TTBB,,StFYC,Pop
Minstel Boy,,228,,,//Whitehead,,,,,,StFYC,Irish Folk Song
Mood Indigo,,162,,,Ellington/Thorne,,"""Thorne, F.""",,TTBB,,StFYC,Swing
Moon River,BREAKFAST @ TIFFANYS,40,,,"""MANCINI, H.""",,,"""MERCER, J.""",SATB,,StFYC,B'way or Movie
Movin On,,352,,,"""Strommen, C""",,,,TTBB,,StFYC,Folk Song
Must I Then? Muss I Denn,,257,,,//Linn,,,,,,StFYC,German Folk Song
My Bonnie Lass,,132,,,"""MORLEY, T./Davidson""",,A.T.D.,,TTBB,,StFYC,Madrigal
My Fair Lady Choral Selection,My Fair Lady,170,,,"""Loewe, F./Warnick""",,,"""Lerner, A.""",TTBB,,StFYC,Broadway Musical
My Love is Like a Rose,,95,,,"""BUTLER, Eugene""",,,"""BURNS, Robert""",TBB,,StFYC,Scotish Love Song
My Love is Like a Rose,,377,,,"""Butler, Eugene""",,,,TBB,,StFYC,Ballad
Navy Hymn (Eternal Father),,82,,,"""DYKES, J./Bellah""",,"""HOWE, N.""","""WHITING, W.""",TTBB,,StFYC,Sacred
"""Navy Hymn (Eternal Father, Strong to """,,108,,,"""DYKES, J.""",,"""HOWE, N.""","""WHITING, W.""",TTBB,,StFYC,Sacred
Night of Silence,,280,,,,,,,,,StFYC,Christmas
Nightingale Sang in Berkeley Square,Manhatten Transfer,175,,,Sherwin//Puerling,,,Maschwitz,SATB,,StFYC,Ballad
Nightingale Sang in Berkeley Square,,313,,,//Billingsley,,,,,,StFYC,Pop
Nocturnal Serenade,,41,,,"""SCHUBERT, F""",,,,TTBB,,StFYC,German Lieder
Noel,,297,,,Rogel//Schram,,,,,,StFYC,Christmas
Now is the Month of Maying,,229,,,Morley//Davison,,,,,,StFYC,Madrigal
Now Let Every Tongue Adore Thee,,223,,,"""Bach, J.S.//Davison""",,,,,,StFYC,Sacred
Nowel,,243,,,Randall Thompson,,,,,,StFYC,Christmas
O HOLY NIGHT,,213,,,"""ADAM, A.""",,"""BRECK, E.""","""ADAM, A.""",Duet,,StFYC,Christmas
O My Lord Let Not Your Blinding Fury,,224,,,Josquin/Adams,,,,,,StFYC,Sacred
O Tannenbaum,,44,,,Parker-Shaw,,,,TTBB,,StFYC,Christmas
Oklahoma! Choral Selection,Oklahoma!,174,,,"""Rodgers, R./Ehret""",,,"""Hammerstein, O.""",TB,,StFYC,Broadway Musical
Old Man Noah,,83,,,Bartholomew,,"""BARTHOLOMEW, M.""",,TTBB,,StFYC,Chantey
Old Man River,,242,,,Kern,,,,,,StFYC,Broadway Show
"""Oldest Established Crap Game, The""",Guys and Dolls,182,,,"""Loesser, F.""",,,,Quartet,,StFYC,Broadway Musical
Olympic Hymn,Music theme based on Sanara,188,,,"""/Linn, R.""",,,,,,,StFYC
Once to Every Man and Nation,,383,,,"""Walters, John""",,,,TTBB,,StFYC,Sacred
One More Day,,61,,,arr. Tolleson,,"""TOLLESON, W.""",,TTBB,,StFYC,Chantey
One More For the Road,,319,,,Rogers,,,,,,StFYC,Swing Drinking Song
Out on the Rolling Ocean,,387,,,"""Funk, Jeff""",,,,TBB,,StFYC,Sea Song
Passing By,,370,,,"""Purcell, Edward""",,,,TTBB,,StFYC,Art Song
"""PASTURE, The""",,105,,,"""THOMPSON, R.""",,"""THOMPSON, R.""","""FROST, R.""",TBB,,StFYC,Art Song
People will say we're in Love,OKLAHOMA!,219,,,"""RODGERS, R.""",,,"""HAMMERSTEIN, O.""",UNISON,,StFYC,BROADWAY MUSICAL
Pie Jesu,Mariners Sunday,304,,,Webber,,,,TTB,,StFYC,Sacred
Pilgrims Chorus,,46,,,"""WAGNER, R./Dawson
""",,Dawson,"""WAGNER, R.""",TTBB,,StFYC,Opera Chorus
Pilgrims Chorus,,47,,,"""WAGNER, R./Zollner""",,Zollner,"""WAGNER, R.""",TTBB,,StFYC,Opera
Pilgrims Chorus,,48,,,"""WAGNER, R./Schrimer""",,Schirmer,"""WAGNER, R.""",TTBB,,StFYC,Opera Chorus
"""Pope, The""",,49,,,"""STOECKEL, G./Shepherd""",,"""SHEPARD, T.""","""NOACK, C.""",TTBB,,StFYC,Drinking Song
Praise and Worship,Collection of responses,391,,,"""Bock, Fred""",,,,TTBB,,StFYC,Sacred
Prayer For Peace (Hungarian Anthem),,197,,,Himnusz/Schmidt,,"""Schmit, C.""",,TTBB,,StFYC,Sacred
Preach Not Me Your Musty Rules,,376,,,"""Rice, Martin""",,,,TTBB,,StFYC,Art Song
Precious Lord Take My Hand,Mariners Sunday 2000,323,,,//Ringwald,,,,,,StFYC,Sacred
Pulse of an Irishman ,,225,,,Beethoven//Minser,,,,,,StFYC,Irish Folk Song
Richard Rodgers Medley,,50,,,Rodgers,,,,Solo,,StFYC,Broadway Musicals
Rio Grande,,359,,,"""Lewin, O""",,,,TTBB,,StFYC,Chantey
Rise Up Shepherd,,362,,,"""Hayes, Mark""",,,,TTBB,,StFYC,Christmas Spiritual
Roadways,,333,,,"""Clark, P""",,,,TTBB,,StFYC,Chantey
Rock Around The Clock,,51,,,McGilvrey,,McGilvray,,TTBB,,StFYC,Pop
Sailor Song,,379,,,"""Singh, Vijay""",,,,TTBB,,StFYC,Chantey
Salvation Belongeth to Our God,,261,,,//Davison,,,,,,StFYC,Russian Scared
Sea Gypsy,,263,,,Clark,,,,,,StFYC,Chantey
Sea Saga,,277,,,Allen,,,,,,StFYC,Chantey
Seeing Nellie Home,,53,,,"""FLETCHER, J./Parker-Shaw""",,"""SHAW, R.""","""KYLE, F.""",TTBB,,StFYC,American Folk Song
Set Down Servant!,,166,,,/Parker-Shaw,,Shaw,,TTBB,,StFYC,Spiritual
Shall Not Perish from the Earth,Joint Concert,246,,,Clay Schmit,,,Abraham Lincoln,TTBB,,StFYC,Patriotic
Shenadoah,,291,,,//Shaw,,,,,,StFYC,Chantey
Shenandoah,,55,,,//Bartholomew,,"""BARTHOLOMEW, M.""",,TTBB,,StFYC,Folk Song
Shenandoah,,61,,,//Tolleson,,"""TOLLESON, W.""",,TTBB,,StFYC,Chantey
Silver Bells,,58,,,LIVINGSTON Evans/Naylor,,Naylor,LIVINGSTON & Evans,TTBB,,StFYC,Christmas
Sine Nomine,,101,,,RALPH VAUGHN Williams,,Rosenberg,HOW,TTBB,,StFYC,Sacred
"""Sing, Sing a Song for Me""",,198,,,/Grayson,,,,SATB,,StFYC,Renaissance Secular
Singing in the Rain,,273,,,//Rogers,,,,,,StFYC,Broadway Show
Sinner Man,,390,,,"""Shaw, Kirby""",,,,TTBB,,StFYC,Spiritual
Sit Down You're Rockin' The Boat,Guys and Dolls,168,,,"""Loesser, F.""",,,,TTBB,,StFYC,Broadway Musical
Sleepytime Bach,,63,,,arr. Bennett Williams,,"""WILLIAMS, B.""",,TTBB,,StFYC,Art Song
"""Sleigh, The""",,293,,,Kountz//Baldwin,,,,,,StFYC,Christmas Russian
Smoke Gets In Your Eyes,Spring Concert 1999,322,,,Rogers,,,,,,StFYC,Pop
Somewhere,,286,,,Rogers,,,,,,StFYC,Broadway Show
Somewhere,,353,,,"""Goodrich, H""",,,,TTBB,,StFYC,Secular
Somewhere in my Memory,,296,,,Williams,,,,,,StFYC,Christmas
Song of Freedom,,60,,,Rachmaninoff,,,"""ROTHERY, W.""",TTBB,,StFYC,Russian Patriotic Song
Songs of a Young Man,,396,,,"""Nance, Richard""",,,,TTBB,,StFYC,Secular
Sons of the Sea,Written for the SOTS,59,,,arr. Allen,,,Clay Schmit,TTBB,,StFYC,Chantey
Soon Its Gonna Rain,,278,,,//Allen,,,,,,StFYC,Broadway Show
Sound Of Music (The),,64,,,"""RODGERS, R.""",,"""WARNICK, C.""","""HAMMERSTEIN, O.""",TTBB,,StFYC,Broadway Musical
Sound Of The City,,199,,,,,,,TTBB,,StFYC,specialty
Spanish Ladies,,164,,,/Davidson,,"""Davison, A.""",,B-TTBB,,StFYC,English Folk Song
Splish Splash,,66,,,Darin & Murray/Emerson,,Emerson,,TTB,,StFYC,Pop
Standing In the Corner,,110,,,,,,,TTBB,,StFYC,Chantey
Standing On The Corner,MOST HAPPY FELLA,69,,,"""LOESSER, F./Mareen""",,,"""YARBURG, H.""",TTBB,,StFYC,Broadway Musical
Star Spangled Banner,Preferred Version,68,,,arr. Hastings,,Hastings,,TTBB,,StFYC,Patriotic
Star Spangled Banner,,350,,,Smith/Goodrich,,,,TTBB,,StFYC,Patriotic
Stardust,,309,,,Rogers,,,,,,StFYC,Pop
Stars of the Summer Night,,102,,,WOODBURY/LARGE,,,LONGFELLOW,TTBB,,StFYC,GLEE CLUB CHORUS
Steal Away,,253,,,//Bartholomew,,,,,,StFYC,Spiritual
